movie_name,sns_score,movie_cover_url,movie_video_url
教父,9.4,https://pic5.iqiyipic.com/image/20231109/46/da/v_50516885_m_601_m11.webp,https://www.iqiyi.com/v_19rrg3726w.html
夜未央,,http://pic4.iqiyipic.com/image/20241127/bc/c9/v_179035419_m_601_m1.webp,http://www.iqiyi.com/v_b24d120ba!.html
触不可及  ,9.4,https://pic3.iqiyipic.com/image/20231109/42/56/v_62646868_m_601_m5.webp,https://www.iqiyi.com/v_19rrhoa6kc.html
白月梵星,,http://pic3.iqiyipic.com/image/20250107/90/a6/v_179529366_m_601.webp,http://www.iqiyi.com/v_11734ab6f!.html
机器人总动员,9.4,https://pic4.iqiyipic.com/image/20231110/75/f6/v_50342443_m_601_m21.webp,https://www.iqiyi.com/v_19rrjpwu8w.html
海蒂和爷爷,9.4,https://pic1.iqiyipic.com/image/20231109/8a/2e/v_62817402_m_601_m21.webp,https://www.iqiyi.com/v_19rrmy6ais.html
放牛班的春天,9.4,https://pic4.iqiyipic.com/image/20240102/51/48/v_50004961_m_601_m29.webp,https://www.iqiyi.com/v_19rrj5w9vs.html
厉害了，我的国,9.4,https://pic6.iqiyipic.com/image/20230629/4c/f5/v_115014542_m_601_m11.webp,https://www.iqiyi.com/v_19rrbqar6g.html
白月梵星,,http://pic0.iqiyipic.com/image/20250107/6d/b4/v_179529347_m_601.webp,http://www.iqiyi.com/v_64efe1e6d!.html
建国大业,9.4,https://pic8.iqiyipic.com/image/20231109/f0/08/v_50004570_m_601_m13.webp,https://www.iqiyi.com/v_19rrj5vg78.html
何以为家（普通话）,9.2,https://pic3.iqiyipic.com/image/20230630/23/70/v_130716994_m_601_m9.webp,https://www.iqiyi.com/v_19rs9mnfl8.html
我是刑警,9.2,http://pic6.iqiyipic.com/image/20241129/5a/a5/v_179046912_m_601_m1.webp,http://www.iqiyi.com/v_c6fb023e0!.html
绿皮书（普通话）,9.2,https://pic9.iqiyipic.com/image/20210915/23/e7/v_128125704_m_601_m7.webp,https://www.iqiyi.com/v_19rsjflem8.html
一伞烟雨,,http://pic4.iqiyipic.com/image/20241216/e7/03/v_179176859_m_601_m1.webp,http://www.iqiyi.com/v_74810cb17!.html
一伞烟雨,,http://pic0.iqiyipic.com/image/20241216/4c/8b/v_179176864_m_601_m1.webp,http://www.iqiyi.com/v_70f4cc484!.html
冬至,8.3,http://pic8.iqiyipic.com/image/20241220/37/d9/v_179209610_m_601.webp,http://www.iqiyi.com/v_a4b2a26c7!.html
狮子王（1994)（普通话）,9.2,https://pic3.iqiyipic.com/image/20231113/4b/75/v_119181667_m_601_m10.webp,https://www.iqiyi.com/v_19rr5881tc.html
哈利·波特7:死亡圣器(下),9.2,https://pic1.iqiyipic.com/image/20231113/d7/85/v_111044166_m_601_m17.webp,https://www.iqiyi.com/v_19rr9gh53c.html
出走的决心,9.1,https://pic1.iqiyipic.com/image/20241121/74/c4/v_177793248_m_601_m4.webp,https://www.iqiyi.com/v_q0cnupxfyw.html
2019阅兵盛典,9.4,https://pic6.iqiyipic.com/image/20231113/2d/8b/v_150970939_m_601_m10.webp,https://www.iqiyi.com/v_19rz73k6ic.html
我是刑警,9.2,http://pic6.iqiyipic.com/image/20241129/5a/a5/v_179046912_m_601_m1.webp,http://www.iqiyi.com/v_c6fb023e0!.html
当幸福来敲门,9.4,https://pic3.iqiyipic.com/image/20231109/91/7e/v_50111606_m_601_m26.webp,https://www.iqiyi.com/v_19rrk3nlys.html
生活多美好,9.4,https://pic0.iqiyipic.com/image/20230630/5f/3d/v_62816727_m_601_m8.webp,https://www.iqiyi.com/v_19rrmy3seo.html
教父2,9.4,https://pic6.iqiyipic.com/image/20231109/57/03/v_50521442_m_601_m13.webp,https://www.iqiyi.com/v_19rrg3joh0.html
无间道（粤语）,9.4,https://pic5.iqiyipic.com/image/20230629/53/6e/v_50049633_m_601_m17.webp,https://www.iqiyi.com/v_19rrjdhoug.html
机器人总动员（普通话）,9.4,https://pic7.iqiyipic.com/image/20231109/a8/d6/v_110432157_m_601_m10.webp,https://www.iqiyi.com/v_19rrlhh5l0.html
楚门的世界（普通话）,9.4,https://pic2.iqiyipic.com/image/20231109/2f/8d/v_170522149_m_601_m4.webp,https://www.iqiyi.com/v_dd7458e78g.html
教父（普通话）,9.4,https://pic2.iqiyipic.com/image/20230629/fb/b1/v_147754014_m_601_m9.webp,https://www.iqiyi.com/v_19ryibd204.html
海蒂和爷爷（普通话）,9.4,https://pic9.iqiyipic.com/image/20230629/82/5d/v_132466475_m_601_m10.webp,https://www.iqiyi.com/v_19rsbr0r7k.html
放牛班的春天（普通话）,9.4,https://pic3.iqiyipic.com/image/20231110/bd/30/v_112877132_m_601_m6.webp,https://www.iqiyi.com/v_19rr7pap10.html
里斯本丸沉没,9.3,https://pic3.iqiyipic.com/image/20241128/77/e8/v_178946919_m_601_m3.webp,https://www.iqiyi.com/v_t7dpudufb0.html
疯狂动物城,9.3,https://pic4.iqiyipic.com/image/20231110/f8/ee/v_110294275_m_601_m21.webp,https://www.iqiyi.com/v_19rrlpltbg.html
大话西游之大圣娶亲,9.3,https://pic1.iqiyipic.com/image/20250102/d0/8b/v_109655862_m_601_m19.webp,https://www.iqiyi.com/v_19rrkqj66k.html
开国将帅授衔1955,9.3,https://pic2.iqiyipic.com/image/20240112/bc/40/v_175086127_m_601_m1.webp,https://www.iqiyi.com/v_230favw0ptg.html
灵异第六感,9.1,https://pic5.iqiyipic.com/image/20231109/b8/dc/v_50084074_m_601_m16.webp,https://www.iqiyi.com/v_19rrjbsozo.html
哪吒之魔童降世,9.1,https://pic1.iqiyipic.com/image/20231208/a7/c5/v_115686092_m_601_m21.webp,https://www.iqiyi.com/v_19rrcuke28.html
机器人之梦,9.1,https://pic8.iqiyipic.com/image/20241023/5d/47/v_176815539_m_601_m5.webp,https://www.iqiyi.com/v_z6x1xrlve0.html
勇士,9.1,https://pic9.iqiyipic.com/image/20210915/cf/a4/v_127657420_m_601_m7.webp,https://www.iqiyi.com/v_19rsj5lew8.html
赛德克·巴莱,9.1,https://pic9.iqiyipic.com/image/20210916/65/89/v_50228935_m_601_m13.webp,https://www.iqiyi.com/v_19rrk6z1ow.html
四个春天,9.1,https://pic1.iqiyipic.com/image/20231109/97/5e/v_121650236_m_601_m16.webp,https://www.iqiyi.com/v_19rr474tto.html
傲慢与偏见,9.1,https://pic2.iqiyipic.com/image/20240919/21/eb/v_106624952_m_601_m18.webp,https://www.iqiyi.com/v_19rrhxxnck.html
你看起来很好吃,9.1,https://pic6.iqiyipic.com/image/20231109/69/08/v_165375330_m_601_m5.webp,https://www.iqiyi.com/v_k0wl3is1ow.html
心灵奇旅（普通话）,9.1,https://pic3.iqiyipic.com/image/20231109/8d/f9/v_157707854_m_601_m6.webp,https://www.iqiyi.com/v_ltjrjk730g.html
蝴蝶效应,9.1,https://pic4.iqiyipic.com/image/20230629/66/2c/v_143086926_m_601_m7.webp,https://www.iqiyi.com/v_19rwfpb9z0.html
血战钢锯岭,9.1,https://pic6.iqiyipic.com/image/20231109/2f/d9/v_111512288_m_601_m9.webp,https://www.iqiyi.com/v_19rr9ts93w.html
岁月神偷,9.1,https://pic9.iqiyipic.com/image/20231110/99/7a/v_50024432_m_601_m14.webp,https://www.iqiyi.com/v_19rrjekffw.html
弱点,9.1,https://pic2.iqiyipic.com/image/20231109/fc/dd/v_111436326_m_601_m13.webp,https://www.iqiyi.com/v_19rra7zdzo.html
蜡笔小新：激战！涂鸦王国和约四位勇士,9.1,https://pic3.iqiyipic.com/image/20240710/d9/e8/v_173166299_m_601_m6.webp,https://www.iqiyi.com/v_22ws4xynaak.html
甜蜜蜜,9.1,https://pic6.iqiyipic.com/image/20231109/6c/15/v_166673231_m_601_m3.webp,https://www.iqiyi.com/v_pr1emqqqzw.html
怦然心动,9.3,https://pic9.iqiyipic.com/image/20231109/59/4a/v_111381249_m_601_m11.webp,https://www.iqiyi.com/v_19rra10k7w.html
飞屋环游记,9.3,https://pic1.iqiyipic.com/image/20231110/92/7d/v_50343421_m_601_m22.webp,https://www.iqiyi.com/v_19rrjpyvco.html
猫鼠游戏,9.3,https://pic6.iqiyipic.com/image/20231110/10/e1/v_62831089_m_601_m12.webp,https://www.iqiyi.com/v_19rrmxplc8.html
哈尔的移动城堡（普通话） ,9.3,https://pic2.iqiyipic.com/image/20240913/17/ce/v_177130808_m_601_m3.webp,https://www.iqiyi.com/v_cm1o1ppfig.html
我不是药神,9.3,https://pic9.iqiyipic.com/image/20240905/27/e4/v_114041616_m_601_m21.webp,https://www.iqiyi.com/v_19rreozmq8.html
海上钢琴师,9.3,https://pic6.iqiyipic.com/image/20231109/33/5e/v_112846160_m_601_m15.webp,https://www.iqiyi.com/v_19rr7r4y2o.html
百团大战,9.3,https://pic2.iqiyipic.com/image/20240229/5f/cd/v_112846012_m_601_m13.webp,https://www.iqiyi.com/v_19rr7r6rbo.html
寻梦环游记,9.3,https://pic4.iqiyipic.com/image/20231110/03/95/v_112982475_m_601_m22.webp,https://www.iqiyi.com/v_19rr8cycvc.html
哈利·波特1:魔法石,9.3,https://pic0.iqiyipic.com/image/20231110/c7/5a/v_50077316_m_601_m31.webp,https://www.iqiyi.com/v_19rrjbdi0s.html
何以为家,9.3,https://pic1.iqiyipic.com/image/20231109/42/1e/v_128294569_m_601_m12.webp,https://www.iqiyi.com/v_19rsfrzkj8.html
闻香识女人,9.3,https://pic1.iqiyipic.com/image/20231109/09/5c/v_106658745_m_601_m17.webp,https://www.iqiyi.com/v_19rrhwtpa4.html
天空之城,9.3,https://pic5.iqiyipic.com/image/20231110/34/e9/v_110703192_m_601_m7.webp,https://www.iqiyi.com/v_19rrmgbgw8.html
拯救大兵瑞恩,9.3,https://pic7.iqiyipic.com/image/20231113/b6/5a/v_109000932_m_601_m17.webp,https://www.iqiyi.com/v_19rrnpp9co.html
建军大业,9.3,https://pic8.iqiyipic.com/image/20240228/c1/76/v_112879814_m_601_m20.webp,https://www.iqiyi.com/v_19rr7pgfhs.html
帮助（普通话）,9.1,https://pic0.iqiyipic.com/image/20231109/cd/12/v_152452668_m_601_m4.webp,https://www.iqiyi.com/v_1c1qpiea9ak.html
功夫（粤语）,9.1,https://pic5.iqiyipic.com/image/20231109/7f/81/v_50116212_m_601_m15.webp,https://www.iqiyi.com/v_19rrk40at8.html
